"","t","logFC","P.Value","status"
"1",459.383016376675,13.2964869928571,6.87838380741153e-19,0
"2",432.565404409581,12.2510181142857,1.11008252712963e-18,0
"3",430.481383569306,12.6820812242857,1.15357240154993e-18,0
"4",428.223444762064,12.9825839985714,1.20286995385953e-18,0
"5",420.499955094565,12.9196383628571,1.3903256840153e-18,0
"6",419.297951524081,12.8794275028571,1.42235851609477e-18,0
"7",413.908949150185,12.8135886871429,1.57656601329405e-18,0
"8",409.42051255598,12.5384631842857,1.71945700096079e-18,0
"9",408.882691025851,12.7104984014286,1.7375362130151e-18,0
"10",392.115304130186,12.8416829785714,2.42457130561139e-18,0
"11",391.850769541683,13.3969988128571,2.43762628066014e-18,0
"12",385.43205388663,13.0160168257143,2.77998814887327e-18,0
"13",381.321496258809,12.4810628914286,3.02758125193485e-18,0
"14",380.738032091377,12.91988836,3.06469696646446e-18,0
"15",379.815211928375,12.9554029214286,3.12445041912219e-18,0
"16",379.210183220707,12.9875426971429,3.16433810640329e-18,0
"17",377.576781795053,12.6615584242857,3.27491659855164e-18,0
"18",372.708907225248,13.0480687271429,3.63113853393344e-18,0
"19",372.549052985697,12.9839079742857,3.64355474036221e-18,0
"20",370.27632392436,13.1571190685714,3.82535336090675e-18,0
"21",369.670864221358,13.3082186842857,3.87549213190284e-18,0
"22",368.691475067244,12.85052572,3.95817041282076e-18,0
"23",368.682343391349,13.1127123142857,3.95895057823284e-18,0
"24",367.936299817814,12.8658865514286,4.02327752783507e-18,0
"25",367.237906569111,12.8483240957143,4.08456382338426e-18,0
"26",366.325119633046,13.7047158642857,4.16625429936697e-18,0
"27",365.258205813019,12.8963760657143,4.26407873718864e-18,0
"28",364.524384769951,12.7456917071429,4.33286277578806e-18,0
"29",363.712550988556,11.6690684728571,4.41041847417585e-18,0
"30",362.048991573982,12.8674917242857,4.57427207641331e-18,0
"31",361.251490141633,12.5034209671429,4.65524436906754e-18,0
"32",360.217459723172,13.3180415285714,4.76264487695705e-18,0
"33",356.040904042432,12.2570457457143,5.22576495355569e-18,0
"34",355.324227140402,13.1235239828571,5.31022512605979e-18,0
"35",355.279757039427,12.7864163271429,5.31551633080718e-18,0
"36",354.576548138868,12.96007497,5.39998043887371e-18,0
"37",352.577383107684,12.52097334,5.64847612165362e-18,0
"38",352.160589849598,13.49473013,5.7018900103277e-18,0
"39",351.94164638417,12.7485359714286,5.73017620636305e-18,0
"40",351.584907824042,12.9534800385714,5.77660372050871e-18,0
"41",351.381188145105,12.51501424,5.80330655616511e-18,0
"42",343.99920292709,13.1620833542857,6.87144888669665e-18,0
"43",342.478385990519,13.1407482971429,7.11803066596637e-18,0
"44",341.121882701271,11.4912193857143,7.34639976600204e-18,0
"45",340.890068780907,12.5545992157143,7.38624533049247e-18,0
"46",340.650211035973,9.74726813171428,7.42772979106257e-18,0
"47",338.957015646921,10.5060473857143,7.72814836930122e-18,0
"48",335.837518255454,12.9879350657143,8.31814180592845e-18,0
"49",335.446186570182,13.1917952128571,8.39567064456053e-18,0
"50",335.08291885683,9.39258548171428,8.46836822594388e-18,0
"51",334.984993910022,12.7762131014286,8.48808614987481e-18,0
"52",334.066428105494,9.61532851628571,8.67558372334766e-18,0
"53",333.976425448828,9.39130851214285,8.6942044664429e-18,0
"54",330.206143189556,12.9673046385714,9.51619462814559e-18,0
"55",330.100793128608,12.1429462428571,9.54038734796423e-18,0
"56",329.884294201229,12.9878931042857,9.59032207606285e-18,0
"57",329.585657747611,13.0488210385714,9.65968505973177e-18,0
"58",329.573676788273,10.5791666842857,9.66247958377079e-18,0
"59",329.044767430323,13.0515034542857,9.78675778572056e-18,0
"60",328.48249306004,12.6641475128571,9.92085280443076e-18,0
"61",327.98934928964,13.4602892757143,1.00401652361179e-17,0
"62",327.472703722265,10.7038063328571,1.01668992939812e-17,0
"63",327.134671852907,12.9842101485714,1.0250793409167e-17,0
"64",327.024727378924,12.7487040928571,1.02782476017041e-17,0
"65",326.89712099554,12.0462211871429,1.03102159776372e-17,0
"66",326.590273310235,12.0416853771429,1.03875476601262e-17,0
"67",325.904634617142,12.7368917457143,1.05627129125843e-17,0
"68",325.75824259632,12.1852621342857,1.06005420691325e-17,0
"69",325.721280307429,12.9435104628571,1.06101175907704e-17,0
"70",325.184673989809,12.6600972585714,1.07502343119302e-17,0
"71",323.732641709438,10.0135897217143,1.11399438331623e-17,0
"72",323.30130845301,10.9247921542857,1.12587542298943e-17,0
"73",322.748987171171,12.8661022185714,1.14129786995693e-17,0
"74",322.741358281789,11.7946348185714,1.14151254970338e-17,0
"75",322.597775347437,9.52731118885714,1.14556151685755e-17,0
"76",322.43837412216,11.24675996,1.15007549954534e-17,0
"77",321.581583095928,12.80511638,1.17468411590953e-17,0
"78",321.384899411011,12.2328987128571,1.18041653664403e-17,0
"79",321.346963703564,13.5923404685714,1.18152580601829e-17,0
"80",321.054159398991,12.9884237571429,1.19012721934406e-17,0
"81",319.809264648312,11.3099682657143,1.22749268196452e-17,0
"82",319.694123514951,12.2378482828571,1.23101483318884e-17,0
"83",319.628612042629,12.7946995314286,1.23302389699345e-17,0
"84",317.879093313028,12.7929379614286,1.28806696529044e-17,0
"85",317.62934629921,11.6275189257143,1.29614777546864e-17,0
"86",316.053337578098,9.24962111871428,1.34847691222097e-17,0
"87",312.907168104428,12.32924475,1.46021072431339e-17,0
"88",312.380254872746,11.9696448185714,1.47992441785617e-17,0
"89",311.485542427201,12.9300741471429,1.51408891524445e-17,0
"90",309.909239098873,11.3092839385714,1.5764620190434e-17,0
"91",309.309781070055,9.94443007828571,1.60093714254284e-17,0
"92",308.903350466771,11.5651731485714,1.61777447608927e-17,0
"93",308.200839058564,11.5068546028571,1.64734981755886e-17,0
"94",307.370619958928,10.2667779914286,1.68308911424186e-17,0
"95",306.837302555617,12.7689410628571,1.70650756227986e-17,0
"96",304.547717682187,11.25168528,1.81130095566446e-17,0
"97",304.296377924659,9.37758350371429,1.82323943512732e-17,0
"98",303.291545711409,9.727140154,1.87186132696226e-17,0
"99",302.792870572455,12.7519114371429,1.8965319643648e-17,0
"100",302.483199320462,9.69571740285714,1.9120362703306e-17,0
"101",301.959999636724,12.3148023042857,1.93855656149711e-17,0
"102",301.916909828127,9.784472738,1.94075911579779e-17,0
"103",300.187610072093,8.13643169428571,2.0315221890791e-17,0
"104",300.014415408987,9.08419186728571,2.04087260996713e-17,0
"105",299.921551554092,8.31154809685714,2.0459060821239e-17,0
"106",299.156809473242,13.1011667257143,2.0878926956521e-17,0
"107",298.777425515978,9.72911521357143,2.10908132764657e-17,0
"108",298.370985901824,9.25976426285714,2.13205000174318e-17,0
"109",297.27742329672,9.62949657457143,2.19525999257808e-17,0
"110",297.238802125712,11.3269436685714,2.19753062333207e-17,0
"111",297.203213700791,10.2071200785714,2.19962529239408e-17,0
"112",296.947957423749,13.0135493971429,2.2147152466529e-17,0
"113",296.839940313582,9.82962553828571,2.22113594284593e-17,0
"114",296.408244354283,12.3193495628571,2.24700663130937e-17,0
"115",296.392549817451,12.9816113885714,2.24795354346109e-17,0
"116",296.006724946924,12.6637289871429,2.27137369695602e-17,0
"117",295.589627208969,9.92690781242857,2.29700163218089e-17,0
"118",295.38456597588,13.1626133228571,2.30972054192331e-17,0
"119",294.995698623809,13.1334345685714,2.33405832968949e-17,0
"120",294.918570435276,10.44015789,2.33891973232734e-17,0
"121",294.734524147823,10.5140841342857,2.35056631707018e-17,0
"122",294.389773546563,9.243457658,2.37255848828577e-17,0
"123",294.373621662443,9.67065852028571,2.37359450735787e-17,0
"124",294.275670965128,12.4456723071429,2.37988820964347e-17,0
"125",293.992609639359,12.4612331385714,2.39818180629452e-17,0
"126",293.894373653497,13.13183471,2.40456752758238e-17,0
"127",293.839840472707,12.4831706442857,2.4081206568814e-17,0
"128",293.557708429817,9.37156663642857,2.42659771610649e-17,0
"129",292.559102568671,13.0348864957143,2.49329103666084e-17,0
"130",292.334794699736,9.28449875957143,2.50855402193432e-17,0
"131",292.1302040527,9.20791843942857,2.52256711613011e-17,0
"132",291.273176738421,9.33721256242857,2.58223326289009e-17,0
"133",291.192369462589,12.54060432,2.58794052801084e-17,0
"134",291.045319781297,10.47122724,2.59836283688626e-17,0
"135",290.988821450987,12.3164499828571,2.60237977581258e-17,0
"136",290.106090864224,9.54293128442857,2.66605709160824e-17,0
"137",290.060298458184,11.3643057685714,2.66940794697887e-17,0
"138",290.039896841098,10.8294210428571,2.67090235991132e-17,0
"139",289.551766812614,8.15202576771429,2.70694010113342e-17,0
"140",289.122325129486,12.9701640257143,2.73909804263714e-17,0
"141",287.759900428522,12.6095676428571,2.84400217745952e-17,0
"142",286.437918834485,12.3725644528571,2.95013423043788e-17,0
"143",286.380023225957,11.50923252,2.95488311601317e-17,0
"144",286.378493048535,10.4267416,2.95500874543765e-17,0
"145",286.347439514794,8.65498243071429,2.95755957782717e-17,0
"146",286.20991088314,9.52765451157143,2.96888643735841e-17,0
"147",285.639938557433,13.1179731928571,3.0163527823276e-17,0
"148",285.029101930832,9.60661806385714,3.06817290964283e-17,0
"149",284.416730514277,12.7687035971429,3.12113133352224e-17,0
"150",284.220136094971,12.9321756357143,3.13835059552814e-17,0
"151",284.107212273643,10.21107592,3.14828967752361e-17,0
"152",283.889434198607,11.2897575914286,3.16755781138328e-17,0
"153",283.024609611001,9.73040499028571,3.24539527946189e-17,0
"154",282.670775583166,9.76643112714286,3.27786050981663e-17,0
"155",282.60584134677,12.2504732942857,3.28385801712948e-17,0
"156",281.813415158546,10.6065060757143,3.35805268981213e-17,0
"157",281.19726500075,12.5206495014286,3.41704768069467e-17,0
"158",280.285682431547,9.257032667,3.50648180845337e-17,0
"159",279.873916420261,11.0980798171429,3.54774120785197e-17,0
"160",279.471749618152,10.1575261514286,3.58856700164629e-17,0
"161",278.972849277733,12.96903801,3.63994951184257e-17,0
"162",277.900261412065,10.27177838,3.75324555490044e-17,0
"163",277.707558066437,12.5827069942857,3.77401841000828e-17,0
"164",277.346924511658,11.8390857128571,3.8132423182218e-17,0
"165",277.3145789396,7.78083154114286,3.81678271414409e-17,0
"166",277.292568848665,12.4686306528571,3.8191939518855e-17,0
"167",276.912838916861,12.0966582985714,3.86106508623081e-17,0
"168",276.653496813266,7.52125235971428,3.88995853387731e-17,0
"169",276.644598457378,12.2838512171429,3.89095421443667e-17,0
"170",276.413078891704,10.9329607842857,3.91696117772348e-17,0
"171",276.35286496362,11.6922225957143,3.92375712867561e-17,0
"172",276.299822661727,7.99245555071429,3.9297546622404e-17,0
"173",276.183259905593,10.75804397,3.94297079209683e-17,0
"174",276.041767290868,12.10603346,3.95908079749473e-17,0
"175",276.037390380633,7.877057484,3.95958032194902e-17,0
"176",275.99507245718,11.9741133271429,3.96441360816946e-17,0
"177",275.884091867378,12.5766950314286,3.97712068807359e-17,0
"178",275.061023417739,8.55822958257142,4.07280436677545e-17,0
"179",274.660110404815,8.87970393042857,4.12034799386121e-17,0
"180",274.241787024418,11.0115134385714,4.17062342695563e-17,0
"181",274.128151900698,9.06767463671428,4.1843994659023e-17,0
"182",274.11981082479,10.9644801271429,4.1854126745599e-17,0
"183",272.576871797705,7.62640013028571,4.37767707611446e-17,0
"184",272.346964197272,10.3848265242857,4.40716795074173e-17,0
"185",271.180095818198,8.27741990771428,4.56033597809157e-17,0
"186",271.168061283473,9.541687148,4.56194659362698e-17,0
"187",271.133372471648,10.5819271628571,4.56659267859304e-17,0
"188",271.049437739975,10.9503168385714,4.57785662326262e-17,0
"189",271.030618899532,11.95128618,4.58038638006487e-17,0
"190",270.232148500395,8.62117086142857,4.68918610672384e-17,0
"191",269.64408799847,10.8650839657143,4.77117626259911e-17,0
"192",269.594755850367,11.12898445,4.77812742171854e-17,0
"193",269.512306341003,7.94588920071428,4.78977045387124e-17,0
"194",269.403190639498,11.9693765628571,4.80522825869479e-17,0
"195",269.175412007676,13.10946165,4.83767767128456e-17,0
"196",269.019403949889,11.9846112385714,4.86004494728943e-17,0
"197",268.610227651395,12.75205435,4.91926471949916e-17,0
"198",268.606590202231,10.2933703828571,4.91979479452113e-17,0
"199",267.953246804577,9.00647354128571,5.01605601146736e-17,0
"200",267.601190257318,9.38679790514286,5.06880461404541e-17,0
"201",267.545599592773,8.80172089185714,5.07719070537692e-17,0
"202",267.042859584608,9.00951862328571,5.15374458857709e-17,0
"203",266.845621481553,9.39274229328571,5.1841328810081e-17,0
"204",266.503807203335,12.5517138085714,5.23727475165175e-17,0
"205",266.483565851327,8.48589365814286,5.24044085381493e-17,0
"206",266.427243011254,12.4224030642857,5.24926207733374e-17,0
"207",266.342043120651,9.90287998728571,5.26263777794361e-17,0
"208",265.59797093017,9.70300510957143,5.38109575692808e-17,0
"209",265.574401171502,10.2726707457143,5.384896855673e-17,0
"210",265.456138808648,7.817662716,5.40401473214046e-17,0
"211",264.825038099462,10.8989155642857,5.50733690206698e-17,0
"212",264.805257150082,10.2353386214286,5.5106111397104e-17,0
"213",264.387281415605,10.9204609742857,5.58031141718507e-17,0
"214",264.073591423772,8.629727636,5.6332733833439e-17,0
"215",264.050216773073,12.5109430042857,5.63724244717362e-17,0
"216",263.827898203116,9.59539958414286,5.67515035732135e-17,0
"217",263.799756223517,8.133121218,5.67996932068094e-17,0
"218",263.632104707983,8.46315452057143,5.70877318737718e-17,0
"219",263.597904418337,9.97200938657143,5.71466924059216e-17,0
"220",263.473984829564,8.12625953142857,5.73609018663077e-17,0
"221",263.414251951387,9.58156408585714,5.74644798458863e-17,0
"222",263.270620671915,11.4147078642857,5.77144021709262e-17,0
"223",262.873010315542,10.3655870971429,5.84126606988258e-17,0
"224",262.8417898373,12.34024661,5.84678895587214e-17,0
"225",262.601054437762,9.13301971985714,5.88957287253982e-17,0
"226",262.307417297365,9.265925135,5.94223642100293e-17,0
"227",262.244192779254,9.75238500314286,5.95364490954186e-17,0
"228",261.099465252001,7.85589177242857,6.16452874139943e-17,0
"229",260.877988677655,13.4272564485714,6.20629319970466e-17,0
"230",260.876289862173,8.15758201042857,6.20661477861247e-17,0
"231",260.849328269858,11.8850584028571,6.21172101097753e-17,0
"232",260.744784392253,10.4544510157143,6.23156525022823e-17,0
"233",260.286132118134,13.2387410571429,6.31947284907266e-17,0
"234",260.284471036008,9.32769925242857,6.31979374703595e-17,0
"235",260.239239772813,8.90435995371429,6.32853885189616e-17,0
"236",260.15268345227,9.265785626,6.34531182942788e-17,0
"237",259.814529066146,11.3789727357143,6.41132108326165e-17,0
"238",259.543055535591,9.84423678328571,6.46487355089124e-17,0
"239",259.525722747077,9.180210386,6.46830978156222e-17,0
"240",258.670981206641,11.9449129114286,6.64034082048604e-17,0
"241",258.617628803087,10.4731713671429,6.65124846378975e-17,0
"242",258.399787275673,6.93334661185714,6.69599490150695e-17,0
"243",258.278713166047,8.14426027,6.72101096295244e-17,0
"244",258.11535049044,8.21937125085714,6.75493149986685e-17,0
"245",258.047819963109,7.55647679742857,6.76900976316614e-17,0
"246",258.030749475887,10.6278563914286,6.77257371931838e-17,0
"247",257.357497941466,11.6332962857143,6.91483323394011e-17,0
"248",257.100280912392,8.70491763528571,6.97006934391703e-17,0
"249",256.787924092262,9.68499932971428,7.0378153957915e-17,0
"250",256.707007462594,8.22169181285714,7.05548579989511e-17,0
